PLAYER_NAME,total_shots,made_shots,avg_shot_dist,avg_close_def_dist
james harden,1034,464,14.854255319148935,3.7498065764023214
mnta ellis,1031,462,14.418525703200777,4.3139670223084385
lamarcus aldridge,1017,461,13.58220255653884,4.053687315634218
damian lillard,967,417,16.40630816959669,4.119648397104447
lebron james,966,469,14.079813664596273,4.075672877846791
klay thompson,962,447,16.807900207900207,4.131808731808732
russell westbrook,958,415,12.797286012526095,3.5766179540709815
stephen curry,947,465,17.449841605068638,4.517951425554382
kyrie irving,916,422,14.110480349344979,3.6191048034934497
tyreke evans,905,392,10.112928176795581,3.5583425414364642
blake griffin,876,436,11.837671232876712,4.620890410958904
rudy gay,869,386,13.025546605293442,3.5762945914844653
nikola vucevic,866,462,9.507390300230947,3.6594688221709006
chris paul,866,416,16.644572748267898,4.6041570438799075
gordon hayward,863,387,14.746234067207416,4.502201622247973
john wall,857,384,14.33267211201867,4.51365227537923
kyle lowry,857,358,15.954842473745623,3.8969661610268376
anthony davis,825,451,10.441818181818181,3.7082424242424246
brandon knight,809,344,16.479604449938197,4.4600741656365885
markieff morris,808,377,12.690346534653465,4.0797029702970296
marc gasol,804,399,11.059203980099502,4.147139303482588
dirk nowtizski,801,367,17.275031210986267,4.476029962546817
pau gasol,798,398,10.138471177944862,3.7755639097744362
andrew wiggins,791,347,12.172187104930469,3.4670037926675095
jamal crawford,780,313,18.7475641025641,3.783846153846154
carmelo anthony,777,341,15.03088803088803,3.612226512226512
jimmy butler,774,360,13.15529715762274,4.05749354005168
derrick rose,771,315,14.73657587548638,3.7250324254215306
trey burke,766,287,16.779634464751958,4.028590078328982
eric bledsoe,764,346,12.793848167539267,4.387434554973822
demarcus cousins,761,350,8.725361366622865,3.3913272010512485
al jefferson,761,363,9.326544021024967,3.028120893561104
joe johnson,760,333,15.340657894736841,4.050131578947369
kevin love,753,324,15.05750332005312,4.489110225763612
avery bradley,749,322,17.531775700934578,4.400267022696929
paul millsap,749,355,10.876234979973297,4.149799732977303
wesley matthews,743,335,18.504172274562585,4.87092866756393
goran dragic,743,372,11.769986541049798,3.9353970390309554
wilson chandler,729,303,15.363648834019205,4.064609053497942
mike conley,721,321,14.08626907073509,4.211789181692094
serge ibaka,720,338,15.303611111111111,4.921250000000001
ty lawson,719,319,14.247705146036163,4.4201668984700975
chris bosh,719,337,15.205563282336577,4.4682892906815015
victor oladipo,714,324,11.821148459383753,3.693137254901961
jeff green,704,294,14.230255681818182,3.949289772727273
tobias harris,704,326,12.189488636363636,3.896164772727273
al horford,698,380,11.974641833810887,4.884527220630373
kobe bryant,698,261,16.486676217765044,3.249140401146132
dwayne wade,694,325,12.512536023054755,3.334726224783862
greg monroe,692,339,5.029190751445086,2.3854046242774567
arron afflalo,684,294,16.337865497076024,3.9323099415204674
thaddeus young,684,322,10.046637426900585,3.6880116959064324
kemba walker,673,271,15.027786032689452,3.8832095096582466
trevor ariza,672,253,17.73764880952381,5.290178571428571
derrick favors,668,362,7.746107784431137,3.0770958083832336
kentavious caldwell-pope,668,264,17.20748502994012,4.4770958083832335
jeff teague,665,309,11.838496240601504,4.241353383458646
zach randolph,662,324,8.219788519637461,2.954380664652568
chandler parsons,660,295,14.582878787878789,4.3139393939393935
jared sullinger,656,293,13.28201219512195,4.211890243902439
lou williams,650,260,18.691692307692307,4.19123076923077
michael carter-williams,650,249,12.326307692307694,3.3684615384615384
reggie jackson,645,270,14.678604651162791,4.0584496124031
andre drummond,640,326,4.39828125,2.51984375
ryan anderson,639,259,17.538810641627542,4.742410015649452
jj redick,636,292,19.442295597484275,5.076572327044025
enes kanter,629,314,8.574244833068363,3.579650238473768
gerald green,622,251,18.511093247588423,4.391800643086817
tim duncan,622,309,8.118167202572348,3.0667202572347265
brook lopez,620,302,10.059193548387096,3.7717741935483873
carlos boozer,610,315,9.865901639344262,3.484426229508197
jordan hill,606,281,11.704290429042905,4.401650165016502
jarrett jack,600,269,14.544166666666667,3.855
isaiah thomas,594,246,15.177946127946129,3.845622895622896
time hardaway jr,584,225,18.143664383561642,4.146061643835616
bradley beal,576,239,16.071354166666666,4.651215277777777
ben mclemore,574,250,17.485017421602787,5.11794425087108
oj mayo,564,231,16.46985815602837,4.212943262411347
luol deng,563,271,13.41740674955595,4.159147424511545
donatas motiejunas,563,288,9.47690941385435,3.851154529307282
khris middleton,557,261,15.484021543985637,4.709335727109515
gerald henderson,556,244,14.542446043165468,4.004676258992806
terrence ross,555,227,17.985225225225225,4.435135135135135
marcin gortat,553,302,7.324593128390597,3.3059674502712477
mo williams,550,230,19.57490909090909,4.193272727272728
aaron brooks,546,229,14.982417582417582,3.6434065934065933
cj miles,546,210,19.261355311355313,4.337912087912088
danny green,546,235,18.829304029304026,5.159523809523809
evan fournier,543,239,14.502025782688767,4.72744014732965
tony parker,543,248,12.846777163904235,3.7699815837937383
draymond green,543,236,14.931123388581954,4.958379373848987
giannis antetokounmpo,536,263,9.230223880597014,3.577611940298507
marcus morris,532,240,16.763533834586468,4.718984962406015
brandon jennings,531,215,15.606967984934085,4.1979284369114875
darren collison,528,250,15.34564393939394,4.267045454545454
rodney stuckey,524,234,12.587977099236642,3.8045801526717558
paul pierce,524,239,16.636068702290075,4.18969465648855
greivis vasquez,522,211,17.195019157088122,4.654789272030651
roy hibbert,516,231,9.789341085271317,3.229651162790698
dj augustin,509,206,14.192141453831042,3.9921414538310414
deron williams,508,197,15.256299212598424,4.050196850393701
david west,508,241,13.826377952755905,4.419094488188977
jeremy lin,506,220,14.421541501976286,3.7563241106719367
kawhi leonard,506,229,13.920948616600791,4.309486166007905
jrue holiday,506,225,13.233201581027668,3.94703557312253
mario chalmers,504,206,13.757738095238095,4.195833333333333
kenneth faried,503,249,6.158051689860835,2.7681908548707757
evan turner,493,201,13.006490872210954,3.89026369168357
robert covington,493,197,17.564908722109532,4.398985801217038
manu ginobili,485,203,14.890927835051547,4.116288659793814
luc mbah a moute,485,198,14.316288659793814,4.703298969072165
marreese speights,478,236,11.424058577405857,4.151464435146444
courtney lee,473,224,16.41733615221987,4.700211416490486
jonas valanciunas,472,264,5.632415254237288,2.818220338983051
brandon bass,472,224,10.61207627118644,3.6338983050847458
solomon hill,471,187,13.238216560509553,4.132271762208068
wesley johnson,467,196,18.23254817987152,4.803854389721628
nene hilario,466,241,9.767167381974248,4.18068669527897
kyle korver,464,229,22.020905172413794,4.989439655172413
elfrid payton,463,192,7.63866090712743,3.1414686825053995
luis scola,462,218,11.316666666666666,3.849134199134199
nick young,459,171,19.061873638344228,3.5076252723311545
demarre carroll,457,215,14.79343544857768,4.770459518599562
harrison barnes,456,226,13.833991228070175,5.284429824561403
gary neal,449,165,17.506236080178173,3.6910913140311803
nicolas batum,445,173,18.524719101123594,5.595730337078652
patrick beverley,445,168,17.64988764044944,5.199775280898876
matt barnes,442,199,16.26266968325792,5.222398190045249
dennis schroder,436,191,12.061926605504587,3.9958715596330276
wayne ellington,430,185,18.73720930232558,4.338139534883721
lance stephenson,430,158,14.31953488372093,4.144651162790698
boris diaw,428,191,12.76214953271028,4.952102803738318
nerles noel,427,190,7.260187353629976,3.2955503512880564
jason smith,425,194,14.746823529411763,4.682117647058824
timofey mozgov,420,231,6.317142857142857,3.3049999999999997
chris kaman,418,205,8.467942583732057,3.057177033492823
devin harris,414,170,17.753623188405797,5.06207729468599
tyler zeller,410,225,6.272926829268293,2.970731707317073
henry sims,410,197,11.350731707317074,4.199756097560976
taj gibson,405,202,6.440493827160494,2.685432098765432
kj mcdaniels,404,158,13.1740099009901,4.019554455445545
channing frye,404,159,22.07376237623762,5.671287128712871
jose juan barea,401,167,13.754114713216957,4.15361596009975
pj tucker,400,182,15.48375,5.05525
gorgui dieng,400,199,7.7465,3.28625
patrick patterson,399,187,16.569423558897242,5.458897243107769
rasual butler,398,175,18.03391959798995,4.1675879396984925
anthony morrow,396,176,17.97247474747475,4.566414141414142
jerryd bayless,393,176,14.99592875318066,4.770229007633588
mason plumlee,392,230,4.251020408163265,2.7367346938775508
amir johnson,391,227,6.804092071611254,3.068030690537084
kris humphries,390,186,11.740512820512821,4.661025641025641
tristan thompson,383,210,4.482767624020888,2.6067885117493472
shabazz muhammad,382,186,9.970157068062827,3.1678010471204185
deandre jordan,382,275,3.4358638743455496,2.904188481675393
kyle singler,374,145,18.03048128342246,5.112566844919786
michael kidd-gilchrist,362,169,9.655801104972376,3.3162983425414363
brian roberts,361,144,18.745983379501386,4.773407202216067
mike scott,359,160,15.413649025069638,4.815877437325906
norris cole,359,142,14.925626740947076,4.4576601671309195
bojan bogdanovic,357,150,15.626050420168067,4.941736694677871
nikola mirotic,355,143,16.929295774647887,5.0340845070422535
zach lavine,353,153,14.593767705382437,4.154957507082153
jared dudley,352,168,17.895170454545454,5.678409090909091
tony allen,350,168,6.2057142857142855,3.3908571428571426
cody zeller,349,162,10.699140401146131,4.471060171919771
danilo gallinai,346,126,19.047109826589598,4.607225433526011
ed davis,344,208,4.403488372093023,2.241279069767442
beno urdih,343,168,14.776676384839648,4.351020408163266
darrell arthur,343,145,17.505539358600583,5.745772594752187
jose calderon,342,141,19.54327485380117,4.665204678362573
zaza pachulia,342,147,9.844444444444445,4.603508771929825
cory joseph,337,170,9.901186943620177,3.406528189910979
alan anderson,335,145,16.63641791044776,4.118507462686567
joakim noah,335,149,7.511641791044776,3.593134328358209
andre iguodala,335,152,15.29582089552239,4.967164179104477
kelly olynyk,333,166,12.828528528528528,4.56996996996997
hollis thompson,333,134,17.875975975975976,4.890090090090091
tyson chandler,328,224,4.042378048780488,3.215548780487805
jj hickson,328,157,6.353658536585366,2.95
dwight howard,327,186,4.241590214067278,2.335474006116208
jason terry,327,139,20.24067278287462,4.9067278287461775
donald sloan,324,133,14.472530864197532,3.4697530864197534
amare stoudemire,324,178,6.476851851851852,2.65
spencer hawes,324,131,15.978703703703705,5.394753086419754
trevor booker,323,161,10.617647058823529,4.230959752321981
marco belinelli,322,139,18.038819875776397,4.996583850931677
marcus thornton,313,128,16.445047923322683,3.852076677316294
marvin williams,312,138,19.397756410256413,5.843589743589744
kirk hinrich,307,109,18.243322475570032,5.076221498371336
mirza teletovic,305,119,18.557377049180328,4.755409836065574
james johnson,304,186,7.926644736842104,3.507236842105263
kevin seraphin,301,156,8.975747508305647,3.3940199335548176
chris copeland,300,110,16.694666666666667,4.140666666666667
kevin garnett,298,138,14.509395973154364,5.099328859060402
omer asik,298,151,2.5828859060402687,2.362751677852349
marcus smart,295,106,19.0464406779661,4.340677966101695
alex len,294,156,7.293877551020408,3.4329931972789116
cj watson,294,124,17.207142857142856,4.775170068027212
jason thompson,283,130,9.970671378091872,3.918727915194346
jusuf nurkic,282,125,6.040780141843972,2.797872340425532
caron butler,281,108,19.862277580071176,4.73950177935943
derrick williams,281,128,12.435943060498222,4.144128113879003
carl landry,278,142,9.788489208633093,3.6924460431654675
otto porter,278,129,15.178417266187052,4.6388489208633095
vince carter,277,92,19.615162454873644,4.649097472924187
shane larkin,273,118,14.985714285714286,4.763003663003663
dante exum,272,95,19.71985294117647,5.951838235294118
anthony bennett,270,113,13.815925925925926,4.687777777777778
rudy gobert,261,162,3.5885057471264368,2.418773946360153
steve adams,259,145,4.847104247104247,2.5590733590733588
shaun livingston,253,133,9.459683794466404,3.0632411067193677
al farouq aminu,251,107,12.851394422310756,4.943027888446215
lavoy allen,248,122,10.95040322580645,4.733467741935484
ben gordon,247,108,16.606477732793522,3.9461538461538463
jon leuer,247,109,12.06072874493927,4.199595141700405
aron baynes,246,133,5.984552845528455,3.065040650406504
leandro barbosa,246,114,13.00691056910569,4.200813008130082
dante cunningham,244,112,14.124180327868853,4.754918032786885
kosta koufos,244,122,6.898360655737705,3.2135245901639347
steve blake,240,89,21.05708333333333,5.629166666666666
charlie villanueva,235,99,18.557021276595744,5.165106382978723
john henson,234,136,5.015384615384615,2.6803418803418806
ray mccallum,234,104,13.135470085470084,4.08034188034188
andrew bogut,234,129,5.138461538461539,3.120940170940171
robert sacre,234,97,10.75042735042735,3.838034188034188
omri casspi,233,111,8.021459227467812,3.3515021459227468
shawne williams,231,97,19.118181818181817,5.633333333333333
richard jefferson,229,102,15.677292576419214,4.270305676855895
jonas jerebko,228,106,15.758771929824562,5.257894736842105
quincy acy,228,109,13.057456140350876,4.701315789473685
tony snell,226,105,17.034513274336284,4.914159292035398
shawn marion,224,99,9.263839285714285,3.7700892857142856
jeremy lamb,220,94,17.616818181818182,4.280454545454545
jon ingles,218,89,18.66697247706422,5.687155963302752
jerami grant,215,81,13.46046511627907,4.224186046511628
pero antic,215,78,18.266976744186046,5.311162790697675
ronnie price,212,72,17.596698113207548,4.420754716981132
kyle oquinn,208,102,12.729807692307693,4.6216346153846155
alexis ajinca,205,122,8.254634146341463,3.6370731707317074
matthew dellavedova,205,72,18.209756097560977,5.6536585365853655
nick collison,205,84,12.093658536585364,4.43219512195122
ramon sessions,204,65,11.860784313725489,3.8588235294117648
jakarr sampson,203,94,11.960591133004925,4.195073891625616
kent bazemore,200,89,13.3685,4.984
thabo sefolosha,200,84,11.6655,4.498
shabazz napier,199,73,18.289949748743716,4.552763819095477
matt bonner,194,77,18.062886597938142,5.5097938144329905
chase budinger,191,72,15.576439790575916,4.20261780104712
damjan rudez,191,81,20.605759162303663,5.332984293193717
cole aldrich,188,91,6.265425531914894,2.6803191489361704
nik stauskas,186,65,18.2494623655914,4.6752688172043015
kendrick perkins,183,81,5.636065573770492,3.0295081967213116
kostas papanikolaou,176,61,15.749431818181819,5.4988636363636365
glen davis,174,83,8.033333333333333,3.7321839080459767
cj mccollum,170,67,16.545294117647057,4.564117647058824
andre miller,169,94,8.558579881656804,2.9100591715976334
pablo prigioni,168,69,21.30654761904762,5.625
andre roberson,165,75,12.18,5.195757575757575
luke babbitt,156,73,19.69551282051282,5.990384615384615
garrett temple,154,60,17.397402597402596,5.41948051948052
travis wear,154,65,16.87922077922078,4.92077922077922
james ennis,154,58,14.181818181818182,4.635064935064935
jimmer dredette,144,53,14.478472222222223,4.496527777777778
chris andersen,135,79,6.291851851851852,3.425925925925926
alonzo gee,133,65,8.772932330827068,4.106766917293234
udonis haslem,132,57,9.06060606060606,3.65
jason maxiell,124,51,8.64516129032258,3.3499999999999996
robbie hummel,113,53,15.709734513274336,5.29646017699115
bismack biyombo,112,63,3.9330357142857144,2.3598214285714287
aaron gordon,102,53,10.206862745098038,4.186274509803922
hedo turkoglu,99,43,21.610101010101012,5.315151515151515
mike miller,93,29,23.523655913978494,6.259139784946237
alan crabbe,92,39,19.053260869565218,5.683695652173912
joe harris,92,37,19.631521739130434,5.375
jerome jordan,87,47,4.829885057471264,2.595402298850575
greg smith,46,29,2.630434782608696,2.6913043478260867
